year,month,nh-extent,nh-area,sh-extent,sh-area,nh-temp,nh-npos
1978,11,11.645,9.037,15.896,11.686,249.778765466667,0
1978,12,13.667,10.901,10.395,6.969,245.759028612903,0
1979,1,15.414,12.406,5.402,3.474,242.829087935484,0
1979,2,16.175,13.181,3.141,2.107,236.903490678571,0
1979,3,16.342,13.208,3.999,2.663,245.239233354839,0
1979,4,15.447,12.528,7.486,5.452,250.403203766667,0
1979,5,13.857,11.109,10.827,8.299,265.40345016129,0
1979,6,12.53,9.344,14.187,11.224,273.413853066667,19
1979,7,10.311,6.692,16.517,13.257,274.593250096774,31
1979,8,8.041,5.056,17.698,13.785,273.236290741936,20
1979,9,7.051,4.583,18.196,14.287,266.828202933333,0
1979,10,8.748,6.189,17.82,13.722,255.017165548387,0
1979,11,10.943,8.367,15.337,11.322,246.420496466667,0
1979,12,13.336,10.633,9.236,6.236,243.648020322581,0
1980,1,14.862,11.938,4.562,3.082,245.110444548387,0
1980,2,15.955,12.901,2.818,1.847,243.313016310345,0
1980,3,16.041,12.99,3.295,2.11,246.336514290323,0
1980,4,15.429,12.522,5.405,3.678,252.6795541,0
1980,5,13.793,10.964,8.857,6.437,265.939177806452,0
1980,6,12.205,9.003,12.49,9.581,272.875606833333,13
1980,7,10.1,6.535,15.564,12.18,274.163430774194,31
1980,8,7.984,4.938,17.805,13.956,271.85794383871,7
1980,9,7.667,4.871,18.817,14.866,264.567876566667,0
1980,10,9.183,6.495,18.568,14.568,257.779135387097,0
1980,11,11.383,8.727,16.133,11.841,246.509204766667,0
1980,12,13.593,10.781,10.156,6.559,243.512760741936,0
1981,1,14.91,11.907,4.412,2.841,241.655220580645,0
1981,2,15.604,12.533,2.873,1.737,244.979876285714,0
1981,3,15.632,12.714,3.392,2.155,246.879879387097,0
1981,4,15.01,12.239,5.838,4.073,254.697067433333,0
1981,5,13.802,10.991,9.355,7.077,265.160087129032,0
1981,6,12.43,9.029,13.109,10.163,273.414914366667,20
1981,7,10.271,6.313,16.039,12.777,274.204925032258,31
1981,8,7.844,4.477,17.737,14.156,272.962077032258,14
1981,9,7.138,4.439,18.597,14.781,266.263217466667,0
1981,10,8.856,6.265,18.294,14.433,259.482845258065,0
1981,11,10.929,8.313,16.111,12.073,250.756062466667,0
1981,12,13.341,10.543,10.895,7.015,245.617962516129,0
1982,1,15.177,12.192,5.26,3.251,243.221000903226,0
1982,2,15.974,12.868,3.129,1.86,241.907001964286,0
1982,3,16.044,13.066,4.288,2.841,245.561540354839,0
1982,4,15.466,12.63,7.723,5.792,249.971788066667,0
1982,5,13.973,11.169,10.758,8.273,264.696100741936,0
1982,6,12.476,9.46,13.417,10.498,273.282148233333,20
1982,7,10.367,6.87,15.872,12.473,274.158338516129,31
1982,8,8.139,5.003,17.789,14.284,272.930528258065,16
1982,9,7.302,4.435,18.353,14.529,266.7194503,0
1982,10,9.421,6.67,17.789,13.745,257.620718709677,0
1982,11,11.627,9.059,15.537,11.269,250.387018366667,0
1982,12,13.642,10.879,9.216,6.314,246.733436096774,0
1983,1,14.942,12.01,4.77,3.207,242.108150225806,0
1983,2,16.006,12.942,3.07,1.906,242.530849392857,0
1983,3,16.085,12.928,4.016,2.616,249.711881903226,0
1983,4,15.172,12.213,6.47,4.696,250.441684433333,0
1983,5,13.491,10.868,9.526,7.159,265.611315870968,0
1983,6,12.296,9.265,12.643,9.769,272.595266166667,13
1983,7,10.57,6.856,15.467,12.366,274.337778483871,31
1983,8,8.186,4.975,17.251,13.836,273.288596193548,20
1983,9,7.395,4.703,18.585,14.683,264.664405833333,0
1983,10,9.334,6.788,17.915,13.917,255.663249032258,0
1983,11,11.461,8.986,16.014,11.567,247.369045466667,0
1983,12,13.299,10.629,10.394,6.705,245.006029967742,0
1984,1,14.473,11.683,4.779,2.934,246.834279419355,0
1984,2,15.299,12.257,2.677,1.752,247.108050586207,0
1984,3,15.584,12.555,3.612,2.345,242.76540083871,0
1984,4,15.015,12.178,6.422,4.528,250.9367485,0
1984,5,13.577,10.88,9.748,7.413,264.792610645161,0
1984,6,12.152,9.093,13.231,10.645,273.2189568,23
1984,7,9.977,6.297,16.395,13.38,274.527837580645,31
1984,8,7.771,4.681,17.928,14.23,273.013443258065,18
1984,9,6.805,4.106,18.171,14.268,267.809108366667,0
1984,10,8.561,5.911,17.573,13.734,258.961989258065,0
1984,11,10.842,8.235,16.134,12.058,251.155550333333,0
1984,12,12.989,10.269,10.473,6.959,248.378372741936,0
1985,1,14.725,11.695,4.455,2.874,245.010032580645,0
1985,2,15.466,12.48,2.836,1.835,243.268890357143,0
1985,3,15.886,12.748,3.717,2.538,242.004187129032,0
1985,4,15.357,12.545,6.493,4.742,251.368124633333,0
1985,5,14.073,11.246,10.153,7.839,264.310325129032,0
1985,6,12.219,8.957,13.428,10.506,273.588479566667,23
1985,7,9.744,5.988,15.721,12.48,274.577740354839,31
1985,8,7.402,4.603,17.632,14.241,272.154756387097,11
1985,9,6.698,4.232,18.703,14.722,265.2331306,0
1985,10,8.546,6.123,18.204,14.367,254.577653967742,0
1985,11,11.025,8.424,16.14,12.344,249.255570666667,0
1985,12,13.05,10.24,11.352,7.456,249.038303032258,0
1986,1,14.89,11.882,5.422,3.428,241.399507612903,0
1986,2,15.785,12.617,3.193,1.996,242.167088607143,0
1986,3,15.91,12.721,3.698,2.379,242.715410741936,0
1986,4,15.059,12.037,6.386,4.558,250.275442166667,0
1986,5,13.379,10.702,9.296,7.04,265.358821774194,0
1986,6,11.976,8.99,12.687,9.72,272.8772883,16
1986,7,10.146,6.621,15.317,12.093,274.056798612903,31
1986,8,7.979,5.007,16.999,13.457,272.736181483871,16
1986,9,7.411,4.72,17.683,13.876,263.642904966667,0
1986,10,9.484,6.834,17.184,13.324,256.29102083871,0
1986,11,11.453,8.873,15.007,10.866,250.5139557,0
1986,12,13.222,10.534,9.654,6.489,247.881883,0
1987,1,14.97,11.897,5.126,3.307,244.030956354839,0
1987,2,16.05,13.021,3.254,1.999,240.586929714286,0
1987,3,15.816,12.83,4.113,2.747,241.338435677419,0
1987,4,15.211,12.351,6.797,5.044,253.704221566667,0
1987,5,13.743,10.968,9.694,7.534,264.131678935484,0
1987,6,12.486,9.391,12.684,9.91,273.404519066667,20
1987,7,10.333,6.551,15.752,12.498,274.322083709677,31
1987,8,7.628,,17.598,14.018,272.636352451613,18
1987,9,7.279,5.641,18.246,14.27,260.9333008,0
1987,10,9.049,7.491,17.674,13.711,252.741654870968,0
1987,11,11.224,9.734,15.584,11.227,244.974007533333,0
1987,12,,,,,242.348711354839,0
1988,1,,,,,242.788178258065,0
1988,2,15.583,13.574,2.886,1.9,245.981945517241,0
1988,3,15.957,13.903,3.966,2.59,242.264119483871,0
1988,4,15.123,13.182,6.288,4.436,250.7303648,0
1988,5,13.561,11.413,9.602,7.228,266.363442354839,0
1988,6,11.943,9.684,13.093,10.278,273.3169223,16
1988,7,9.809,7.007,15.749,12.615,274.262745935484,31
1988,8,7.892,5.423,17.561,13.976,272.778112,14
1988,9,7.369,5.362,18.307,14.198,265.985716533333,0
1988,10,9.135,7.518,18.361,14.414,255.15446316129,0
1988,11,11.331,9.911,16.148,12.293,248.349240933333,0
1988,12,13.626,11.992,11.061,7.403,246.644900129032,0
1989,1,14.955,13.179,4.737,3.17,240.069509064516,0
1989,2,15.495,13.364,2.978,2.026,244.53205225,0
1989,3,15.423,13.213,3.927,2.587,244.241846645161,0
1989,4,14.328,12.356,6.306,4.496,251.198235533333,0
1989,5,13.044,11.35,10.297,7.999,266.208186193548,0
1989,6,12.245,9.951,13.58,10.814,273.488555833333,22
1989,7,10.13,7.329,15.711,12.578,274.283949129032,31
1989,8,7.882,5.563,17.466,14.031,272.878050096774,17
1989,9,7.008,4.863,18.121,14.476,266.926967066667,0
1989,10,8.829,6.956,17.856,13.846,255.140577,0
1989,11,11.115,9.463,15.734,11.42,245.108799333333,0
1989,12,13.387,11.606,9.838,6.704,245.890469774194,0
1990,1,14.783,12.805,4.867,3.388,251.191575225806,0
1990,2,15.578,13.416,3.036,2.205,246.892451142857,0
1990,3,15.867,13.506,3.966,2.793,245.276018322581,0
1990,4,14.65,12.277,7,5.18,255.0339428,0
1990,5,13.226,10.902,9.716,7.463,268.026233580645,0
1990,6,11.641,9.196,13.083,10.353,273.931666366667,27
1990,7,9.247,6.522,15.571,12.267,274.443460709677,31
1990,8,6.797,4.995,17.567,14.033,273.232636064516,22
1990,9,6.143,4.545,18.193,14.391,267.989432233333,0
1990,10,8.485,6.736,17.945,13.798,253.713309870968,0
1990,11,11.075,9.644,15.468,11.345,245.3214981,0
1990,12,13.106,11.469,9.954,6.73,242.859339645161,0
1991,1,14.364,12.568,5.338,3.517,245.142495129032,0
1991,2,15.249,13.224,3.161,2.091,240.774140357143,0
1991,3,15.416,13.42,3.807,2.654,243.893091419355,0
1991,4,14.86,12.868,7.053,5.181,248.8122866,0
1991,5,13.473,11.499,10.279,7.855,266.560987870968,0
1991,6,12.108,9.659,13.066,9.986,273.807775566667,25
1991,7,9.514,6.761,15.55,12.218,274.754770387097,31
1991,8,7.415,5.208,17.719,14.051,273.477559354839,20
1991,9,6.473,4.513,18.313,14.471,268.2026052,0
1991,10,8.541,6.752,17.917,13.803,255.884313870968,0
1991,11,10.885,9.252,15.584,11.458,247.5119777,0
1991,12,12.945,11.193,10.192,6.798,245.001483419355,0
1992,1,14.643,12.614,4.749,3.235,240.960475548387,0
1992,2,15.462,13.583,2.837,1.856,242.366831310345,0
1992,3,15.481,13.483,3.573,2.467,248.096363967742,0
1992,4,14.677,12.839,6.794,4.997,252.853741366667,0
1992,5,13.216,11.427,9.925,7.622,264.750619387097,0
1992,6,12.147,9.946,12.809,10.004,272.6514852,11
1992,7,10.323,7.217,15.894,12.576,274.408744096774,31
1992,8,7.925,5.439,17.727,14.172,272.189184,7
1992,9,7.474,5.426,18.147,14.134,265.4311508,0
1992,10,9.319,7.739,17.934,13.855,253.778829451613,0
1992,11,11.379,9.748,15.895,11.2,248.6871746,0
1992,12,13.407,11.722,10.206,6.178,244.821203580645,0
1993,1,14.896,12.926,4.409,2.548,241.467839516129,0
1993,2,15.686,13.613,2.482,1.373,243.885933428571,0
1993,3,15.813,13.775,3.668,2.238,240.030591774194,0
1993,4,15.077,13.028,6.652,4.9,253.467747233333,0
1993,5,13.368,11.415,10.104,7.885,265.737934,0
1993,6,11.871,9.261,13.147,10.369,273.7342633,20
1993,7,9.476,6.279,15.855,12.721,274.78133516129,31
1993,8,7.335,4.759,17.492,13.935,272.841438580645,15
1993,9,6.397,4.577,18.543,14.704,265.683125433333,0
1993,10,8.786,7.058,18.128,14.172,253.629647129032,0
1993,11,11.319,9.545,16.042,11.833,248.7964001,0
1993,12,13.319,11.476,9.933,6.671,242.313603193548,0
1994,1,14.73,12.875,4.966,3.372,243.036034645161,0
1994,2,15.562,13.523,3.197,2.225,244.331495571429,0
1994,3,15.554,13.55,4.549,3.199,243.30788483871,0
1994,4,14.888,12.913,7.222,5.455,252.5494139,0
1994,5,13.624,11.658,10.408,8.208,263.966987774194,0
1994,6,12.016,9.684,13.56,10.733,273.342636766667,17
1994,7,9.925,6.923,16.296,13.121,274.615817870968,31
1994,8,7.639,5.188,17.84,14.487,272.701390258065,13
1994,9,7.138,5.13,18.613,14.613,264.257404633333,0
1994,10,8.915,7.232,18.09,14.067,257.213988774194,0
1994,11,11.123,9.715,15.88,11.781,246.084334,0
1994,12,13.272,11.493,10.101,7.112,243.856887645161,0
1995,1,14.586,12.785,5.636,3.73,242.137728,0
1995,2,15.226,13.369,3.561,2.188,246.247440107143,0
1995,3,15.26,13.339,4.626,3.011,243.412899709677,0
1995,4,14.449,12.405,7.268,5.404,258.310318033333,0
1995,5,12.972,10.902,10.416,8.189,266.215845548387,0
1995,6,11.44,8.944,13.29,10.455,273.200071066667,15
1995,7,8.987,6.156,15.744,12.529,274.825928451613,31
1995,8,6.744,4.693,17.78,14.203,272.718145129032,16
1995,9,6.08,4.428,18.373,14.462,266.852711266667,0
1995,10,7.829,5.991,18.03,13.573,258.467108806452,0
1995,11,10.761,9.032,15.634,11.487,249.4048234,0
1995,12,12.921,11.088,10.622,7.191,243.115033709677,0
1996,1,14.181,12.152,5.871,3.548,243.792160967742,0
1996,2,15.155,12.979,2.985,1.768,243.509463827586,0
1996,3,15.123,12.904,4.184,2.649,243.975400258064,0
1996,4,14.216,12.322,7.28,5.365,254.9685978,0
1996,5,13.094,11.284,10.917,8.655,266.114093645161,0
1996,6,12.084,9.834,13.87,11.09,273.153411333333,19
1996,7,10.164,7.438,16.12,12.887,274.005707709677,31
1996,8,8.18,5.733,17.741,13.895,272.154605645161,14
1996,9,7.583,5.623,18.632,14.543,264.490412466667,0
1996,10,9.161,7.544,17.965,13.939,253.837243096774,0
1996,11,10.402,8.765,15.718,11.24,255.411985266667,0
1996,12,12.861,11.031,9.653,6.24,244.064635129032,0
1997,1,14.417,12.395,4.197,2.769,240.424272935484,0
1997,2,15.437,13.438,2.49,1.717,243.509176,0
1997,3,15.467,13.303,3.457,2.297,251.338936967742,0
1997,4,14.563,12.574,6.492,4.835,252.930808866667,0
1997,5,13.177,11.236,10.124,7.91,265.411912419355,0
1997,6,11.738,9.197,13.116,10.215,272.994732833333,17
1997,7,9.411,6.501,15.921,12.749,274.283528612903,31
1997,8,7.285,5.089,17.684,14.086,271.732622645161,14
1997,9,6.686,4.892,18.596,14.589,266.770649366667,0
1997,10,8.337,6.467,17.993,14.121,258.468691,0
1997,11,10.684,9.071,15.733,11.592,250.5001862,0
1997,12,13.076,11.242,10.285,6.991,244.432393548387,0
1998,1,14.721,12.806,4.465,3.039,245.141453935484,0
1998,2,15.746,13.768,2.989,1.868,240.961482714286,0
1998,3,15.598,13.574,4.108,2.705,245.846608483871,0
1998,4,14.892,12.852,6.854,5.12,254.863395133333,0
1998,5,13.59,11.398,10.328,7.911,264.708021580645,0
1998,6,11.706,9.184,13.313,10.339,274.006882633333,28
1998,7,9.415,6.449,15.963,12.657,274.544785451613,31
1998,8,7.509,4.691,17.881,14.06,273.318360935484,19
1998,9,6.536,4.297,18.903,14.842,267.158724533333,0
1998,10,8.452,6.706,18.66,14.541,256.05917183871,0
1998,11,10.441,8.884,16.3,11.879,253.307207766667,0
1998,12,12.759,10.91,10.52,6.802,244.544994870968,0
1999,1,14.359,12.602,4.816,3.108,243.040707548387,0
1999,2,15.309,13.451,2.966,1.774,242.632081857143,0
1999,3,15.398,13.54,3.978,2.576,247.363878258065,0
1999,4,15.084,13.15,6.892,5.13,253.476350333333,0
1999,5,13.751,11.665,10.265,8.073,266.165115064516,0
1999,6,11.779,9.252,13.649,10.827,273.249251633333,20
1999,7,9.488,6.554,16.282,13.063,274.444392967742,31
1999,8,7.226,4.753,17.958,14.239,272.737326645161,15
1999,9,6.117,4.292,18.696,14.616,266.406032033333,0
1999,10,8.603,6.835,18.352,14.235,256.806314483871,0
1999,11,10.796,9.256,15.965,11.511,251.329314866667,0
1999,12,12.641,10.994,10.722,6.803,249.523102419355,0
2000,1,14.22,12.304,4.749,2.921,245.339084741936,0
2000,2,15.141,13.088,2.907,1.719,245.596639655172,0
2000,3,15.225,13.167,4.086,2.665,247.947947612903,0
2000,4,14.558,12.597,7.132,5.306,254.171931466667,0
2000,5,13.153,11.244,10.921,8.562,265.080955903226,0
2000,6,11.665,9.052,13.893,11.037,273.4398344,18
2000,7,9.513,6.385,16.098,12.987,274.292817612903,31
2000,8,7.168,4.783,18.206,14.638,272.350821774194,12
2000,9,6.246,4.347,18.888,15.071,265.194283233333,0
2000,10,8.379,6.692,18.131,14.259,258.578875290323,0
2000,11,10.321,8.866,15.758,11.808,249.725257233333,0
2000,12,12.637,10.96,9.91,6.954,247.79549616129,0
2001,1,14.203,12.354,5.233,3.638,245.645024774194,0
2001,2,15.211,13.22,3.65,2.445,245.76327725,0
2001,3,15.516,13.641,4.731,3.356,243.399371580645,0
2001,4,14.857,13.053,7.044,5.299,251.563917166667,0
2001,5,13.51,11.383,10.33,8,264.64211183871,0
2001,6,11.456,9.086,13.418,10.556,273.0062291,18
2001,7,9.07,6.285,15.852,12.576,274.107782677419,30
2001,8,7.461,4.936,17.423,13.753,272.249049387097,8
2001,9,6.732,4.586,18.175,14.359,266.2888714,0
2001,10,8.298,6.649,17.726,13.343,257.760024,0
2001,11,10.658,9.077,15.61,10.997,251.324000066667,0
